Record,Date,UTC Time,Numero_devis, valeur_debitee
      3176,02/21/2024,15:44:12,    56,     0
      3177,02/21/2024,15:44:13,    56,     0
      3178,02/21/2024,15:44:14,    56,     0
      3179,02/21/2024,15:44:15,    56,     0
      3180,02/21/2024,15:44:16,    56,     0
      3181,02/21/2024,15:44:17,    56,     0
      3182,02/21/2024,15:44:18,    56,     0
      3183,02/21/2024,15:44:19,    56,     0
      3184,02/21/2024,15:44:20,    56,     0
      3185,02/21/2024,15:44:21,    56,     0
      3161,02/21/2024,15:43:57,    56,     0
      3162,02/21/2024,15:43:58,    56,     0
      3163,02/21/2024,15:43:59,    56,     0
      3164,02/21/2024,15:44:00,    56,     0
      3165,02/21/2024,15:44:01,    56,     0
      3166,02/21/2024,15:44:02,    56,     0
      3167,02/21/2024,15:44:03,    56,     0
      3168,02/21/2024,15:44:04,    56,     0
      3169,02/21/2024,15:44:05,    56,     0
      3170,02/21/2024,15:44:06,    56,     0
      3171,02/21/2024,15:44:07,    56,     0
      3172,02/21/2024,15:44:08,    56,     0
      3173,02/21/2024,15:44:09,    56,     0
      3174,02/21/2024,15:44:10,    56,     0
      3175,02/21/2024,15:44:11,    56,     0
